avgTricks,S_TotalPoints,W_TotalPoints,N_TotalPoints,E_TotalPoints,S_unprot,W_unprot,N_unprot,E_unprot,S_pos,W_pos,N_pos,E_pos,S_Len_Trump,W_Len_Trump,N_Len_Trump,E_Len_Trump,S_Ace_Rat,W_Ace_Rat,N_Ace_Rat,E_Ace_Rat,trump
10,1,1,3,1,,J,,,FALSE,TRUE,FALSE,FALSE,6,2,2,3,0,0,0,0,S
11,1,1,2,2,,J,JJ,,FALSE,TRUE,TRUE,FALSE,4,2,6,1,0,0,0,0,H
8,1,1,2,1,,,JJJ,Q,FALSE,TRUE,FALSE,TRUE,2,6,3,2,1,0,0,0,S
10,2,0,2,2,J,,Q,J,FALSE,TRUE,TRUE,TRUE,4,2,4,3,0,0,0,0,H
9,2,2,1,1,,,Q,,TRUE,FALSE,FALSE,TRUE,3,3,5,2,0,0,0,0,S
10,2,1,1,2,J,,,,FALSE,FALSE,TRUE,TRUE,2,3,1,7,0,0,0,0,H
11,0,3,1,1,,,,J,TRUE,TRUE,FALSE,FALSE,2,2,2,7,0,0,0,0,S
9,1,1,2,1,QJQJ,J,,,FALSE,TRUE,FALSE,FALSE,5,3,3,2,0,0,0,1,H
7,1,1,1,2,,Q,J,Q,FALSE,TRUE,TRUE,FALSE,5,2,2,4,0,0,0,0,S
9,2,1,2,1,,JJ,Q,J,FALSE,TRUE,FALSE,TRUE,5,2,3,3,0,0,0,0,H
7,1,1,2,3,,QJ,,J,FALSE,TRUE,TRUE,FALSE,2,2,4,5,0,0,1,0,H
9,1,2,2,1,JJ,,,J,TRUE,TRUE,FALSE,FALSE,4,4,5,0,0,0,0,0,H
9,1,1,1,1,Q,,,Q,TRUE,TRUE,FALSE,TRUE,2,2,3,6,0,0,0,0,S
10,1,1,1,1,Q,,,Q,TRUE,TRUE,FALSE,TRUE,4,2,5,2,0,0,0,0,C
12,1,1,2,1,,,,,FALSE,TRUE,TRUE,FALSE,6,2,3,2,0,0,0,0,H
9,2,1,0,3,K,,,,FALSE,FALSE,TRUE,TRUE,1,2,4,6,0,0,0,0,H
6,1,1,2,1,,JJ,Q,,FALSE,TRUE,TRUE,FALSE,4,4,2,3,0,0,0,0,S
13,2,2,0,2,K,,,,FALSE,FALSE,TRUE,TRUE,1,8,3,1,0,0,1,0,D
8,1,1,2,2,JJ,,,,FALSE,TRUE,TRUE,FALSE,2,3,3,5,0,0,0,0,D
8,1,0,2,2,,J,,,FALSE,TRUE,TRUE,FALSE,3,1,5,4,0,0,0,0,S
8,1,1,2,2,,J,,,FALSE,TRUE,TRUE,FALSE,1,7,4,1,0,0,0,0,H
8,1,0,2,2,,J,,,FALSE,TRUE,TRUE,FALSE,3,1,5,4,0,0,0,0,S
8,1,1,1,2,J,,,J,FALSE,FALSE,TRUE,TRUE,1,1,7,4,0,0,0,0,S
10,2,1,1,1,J,Q,,J,TRUE,FALSE,TRUE,TRUE,3,3,1,6,0,0,0,1,H
10,2,1,1,1,J,Q,,J,TRUE,FALSE,TRUE,TRUE,3,3,1,6,0,0,0,1,H
6,2,1,1,1,J,Q,,J,TRUE,FALSE,TRUE,TRUE,5,6,1,1,0,0,0,1,S
13,2,1,2,1,,JJJ,,,FALSE,TRUE,FALSE,TRUE,3,3,6,1,0,0,0,0,D
13,2,1,2,1,,JJJ,,,FALSE,TRUE,FALSE,TRUE,3,3,6,1,0,0,0,0,D
7,1,1,2,1,J,,,,FALSE,TRUE,FALSE,FALSE,6,2,1,4,0,1,0,0,H
10,2,0,1,3,JJ,,Q,,FALSE,FALSE,TRUE,TRUE,3,5,2,3,0,1,0,0,D
13,0,2,1,3,,,J,,TRUE,FALSE,TRUE,FALSE,3,4,2,4,0,0,0,0,C
10,1,2,1,1,,Q,,J,TRUE,TRUE,FALSE,FALSE,2,4,1,6,0,0,0,0,H
12,2,2,1,1,J,,J,QQ,TRUE,FALSE,TRUE,TRUE,6,2,4,1,0,0,1,0,S
12,0,2,1,2,,,J,,TRUE,TRUE,TRUE,FALSE,3,6,2,2,0,0,0,0,S
9,1,1,1,2,,J,,,FALSE,TRUE,TRUE,FALSE,4,2,4,3,0,0,0,0,H
8,1,1,1,1,,J,,,FALSE,TRUE,TRUE,FALSE,5,2,4,2,0,0,0,0,S
10,1,1,1,2,,J,,,FALSE,TRUE,TRUE,FALSE,2,6,2,3,0,0,0,0,C
10,1,1,0,2,J,J,,,FALSE,FALSE,TRUE,TRUE,2,7,2,2,0,0,1,0,S
10,1,2,1,1,J,J,,,TRUE,TRUE,FALSE,FALSE,1,5,1,6,0,0,0,0,S
11,3,1,0,2,K,J,Q,,FALSE,FALSE,TRUE,TRUE,1,6,3,3,0,0,0,0,D
8,3,1,0,1,K,J,Q,,FALSE,FALSE,TRUE,TRUE,4,3,5,1,0,0,0,0,S
11,1,1,2,1,JQ,Q,,,FALSE,TRUE,TRUE,TRUE,3,2,6,2,0,0,0,1,H
9,1,2,1,1,,,JJ,J,TRUE,FALSE,FALSE,FALSE,2,5,3,3,0,0,0,0,H
11,3,0,2,0,JQ,,,,FALSE,TRUE,FALSE,TRUE,6,0,3,4,0,0,0,0,S
7,1,1,1,1,J,J,,J,TRUE,TRUE,FALSE,FALSE,3,3,2,5,0,0,0,0,S
10,0,2,2,1,,,,JJ,TRUE,TRUE,TRUE,FALSE,2,5,3,3,0,0,0,0,H
12,0,2,1,3,,Q,QJ,,TRUE,FALSE,TRUE,FALSE,2,6,1,4,1,0,0,0,S
12,2,0,2,1,QJQJ,J,,,FALSE,TRUE,FALSE,TRUE,6,3,3,1,0,0,0,0,H
10,2,0,1,1,,,,,FALSE,TRUE,TRUE,TRUE,4,3,4,2,0,0,0,0,S
10,2,2,1,1,Q,K,,Q,TRUE,FALSE,FALSE,TRUE,4,3,4,2,0,0,1,0,H
11,1,1,2,1,,,J,,FALSE,TRUE,FALSE,TRUE,2,3,7,1,0,0,0,0,H
9,1,1,2,2,J,,Q,K,FALSE,TRUE,TRUE,FALSE,3,4,1,5,0,0,0,0,H
9,0,2,3,1,,,,Q,TRUE,TRUE,FALSE,FALSE,5,3,3,2,0,0,0,0,S
10,2,2,2,1,,J,,J,FALSE,TRUE,FALSE,TRUE,4,1,5,3,0,0,0,0,H
9,1,2,1,1,Q,JK,,,TRUE,FALSE,TRUE,TRUE,1,5,3,4,1,0,0,0,S
12,2,3,0,2,,,J,J,TRUE,FALSE,TRUE,TRUE,0,8,3,2,0,0,0,0,C
9,1,1,2,1,,,Q,K,TRUE,TRUE,FALSE,FALSE,2,4,6,1,1,0,0,0,D
9,1,2,2,1,,K,Q,,TRUE,TRUE,FALSE,FALSE,1,5,6,1,1,0,0,0,C
7,1,1,2,2,,J,,,FALSE,TRUE,TRUE,FALSE,1,7,4,1,0,0,0,0,H
7,1,0,2,2,,J,,,FALSE,TRUE,TRUE,FALSE,3,1,5,4,0,0,0,0,S
8,1,1,1,2,J,,,J,FALSE,FALSE,TRUE,TRUE,1,1,7,4,0,0,0,0,S
8,1,1,1,2,J,,,J,FALSE,FALSE,TRUE,TRUE,1,1,7,4,0,0,0,0,S
10,2,1,1,1,J,Q,,J,TRUE,FALSE,TRUE,TRUE,3,3,1,6,0,0,0,1,H
10,2,1,1,1,J,Q,,J,TRUE,FALSE,TRUE,TRUE,3,3,1,6,0,0,0,1,H
12,2,1,2,1,,JJJ,,,FALSE,TRUE,FALSE,TRUE,1,3,6,3,0,0,0,0,S
13,2,1,2,1,,JJJ,,,FALSE,TRUE,FALSE,TRUE,3,3,6,1,0,0,0,0,D
7,1,1,2,1,J,,,,FALSE,TRUE,FALSE,FALSE,6,2,1,4,0,1,0,0,H
7,2,0,1,3,JJ,,Q,,FALSE,FALSE,TRUE,TRUE,3,0,5,5,0,1,0,0,S
9,2,0,1,3,JJ,,Q,,FALSE,FALSE,TRUE,TRUE,3,5,2,3,0,1,0,0,D
13,0,2,1,3,,,J,,TRUE,FALSE,TRUE,FALSE,3,4,2,4,0,0,0,0,C
10,1,2,1,1,,Q,,J,TRUE,TRUE,FALSE,FALSE,2,4,1,6,0,0,0,0,H
10,1,2,1,1,,Q,,J,TRUE,TRUE,FALSE,FALSE,2,4,1,6,0,0,0,0,H
11,2,2,1,1,J,,J,QQ,TRUE,FALSE,TRUE,TRUE,6,2,4,1,0,0,1,0,S
11,2,2,1,1,J,,J,QQ,TRUE,FALSE,TRUE,TRUE,6,2,4,1,0,0,1,0,S
8,1,2,2,1,Q,,Q,,TRUE,TRUE,FALSE,FALSE,2,4,3,4,0,0,0,0,H
12,0,2,1,2,,,J,,TRUE,TRUE,TRUE,FALSE,3,6,2,2,0,0,0,0,S
